Window Title: 'aaron@ArchBoss:~/GoogleDrive/aschroed@vt.edu/Current/dads2busy.github.io'; Application Name: 'terminator'; Class: 'Terminator'; Geometry: 2560x618+0+26
Window Title: 'Quick-start guide - Google Chrome'; Application Name: 'Quick-start guide - Google Chrome'; Class: 'Google-chrome'; Geometry: 1200x1285+1333+126
Window Title: 'VDEM Proposal 2 (vul pop) to Jeff Stern.docx - LibreOffice Writer'; Application Name: 'LibreOffice 4.4'; Class: 'libreoffice-writer'; Geometry: 1115x1260+1311+26
Window Title: 'VDEM Proposal 1 (data flows) - SDAL to Jeff Stern.docx - LibreOffice Writer'; Application Name: 'LibreOffice 4.4'; Class: 'libreoffice-writer'; Geometry: 1115x1260+180+26
Window Title: 'pgAdmin III'; Application Name: 'pgadmin3'; Class: 'Pgadmin3'; Geometry: 1414x956+0+484
Window Title: 'pgAdmin III'; Application Name: 'pgadmin3'; Class: 'Pgadmin3'; Geometry: 1414x956+554+138
Window Title: 'Zimbra: Inbox (1170)'; Application Name: 'Zimbra: Inbox (1170)'; Class: 'Google-chrome'; Geometry: 1200x851+2560+1069
Window Title: 'caja keyboard shortcuts - Google Search - Google Chrome'; Application Name: 'caja keyboard shortcuts - Google Search - Google Chrome'; Class: 'Google-chrome'; Geometry: 1200x1285+1307+103
Window Title: 'dads2busy.github.io'; Application Name: 'Caja'; Class: 'Caja'; Geometry: 1200x1066+2560+3
Window Title: 'Zimbra: Inbox (1170)'; Application Name: 'Zimbra: Inbox (1170)'; Class: 'Google-chrome'; Geometry: 1194x1394+2564+26
Window Title: 'x-caja-desktop'; Application Name: 'Caja'; Class: 'Caja'; Geometry: 3760x1920+0+0
Window Title: 'Top Expanded Edge Panel'; Application Name: 'Top Expanded Edge Panel'; Class: 'Mate-panel'; Geometry: 2560x26+0+0
Window Title: 'aaron@ArchBoss:~/GoogleDrive/aschroed@vt.edu/Current/dads2busy.github.io'; Application Name: 'terminator'; Class: 'Terminator'; Geometry: 2560x618+0+26
Window Title: '~/mounts/sdal_pg/backup_scripts/pg_backup.sh (myconsole) - Sublime Text (UNREGISTERED)'; Application Name: 'Sublime Text'; Class: 'Subl3'; Geometry: 1108x1145+2611+326
Window Title: 'Select Folder'; Application Name: 'Sublime Text'; Class: 'Subl3'; Geometry: 1095x716+732+353
Window Title: 'untitled (dads2busy.github.io) - Sublime Text (UNREGISTERED)'; Application Name: 'Sublime Text'; Class: 'Subl3'; Geometry: 1108x1145+0+26
Window Title: 'Untitled window'; Application Name: 'Sublime Text'; Class: 'Subl3'; Geometry: 493x189+1033+617
Window Title: 'aaron@ArchBoss:~/GoogleDrive/aschroed@vt.edu/Current/dads2busy.github.io'; Application Name: 'terminator'; Class: 'Terminator'; Geometry: 2560x618+0+26
Window Title: 'synapse'; Application Name: 'synapse'; Class: 'Synapse'; Geometry: 610x218+975+512
Window Title: 'Mozilla Firefox'; Application Name: 'Firefox'; Class: 'Firefox'; Geometry: 2560x1414+0+26
Window Title: 'Eye of MATE Image Viewer'; Application Name: 'Eye of MATE Image Viewer'; Class: 'Eom'; Geometry: 546x524+2888+712
